variable,N,mean,median,sd,min,max
CE,4544,4.5284433,4.5538769,1.2920772,0,8.3245792
SCCD,4544,.31309626,.29704496,.086485222,.1214217,.82221609
SCCD2,4544,.10550731,.088235714,.067532063,.014743229,.67603928
OPEN,4529,.19271478,.07644847,.34498808,-.71969324,3.6397464
UR,4544,53.911732,51.839001,15.861661,6.4905882,100
URG,4529,2.4656596,2.3767705,.56715453,1.2070409,6.3780489
GI,4544,.18485309,.15876663,.10054934,.04265378,1.0267844
ER,4544,.0075208414,.0071839252,.0030091524,0,.026092229
DEI,4544,.056352768,.042105541,.076638244,0,.94000065
POLY,4544,.34680271,.37585318,.19415972,0,.96335995
OIU,4544,2.2783101,2.2699499,.14889503,1.1631,2.8357
GTI,4544,3.9306314,3.871201,1.862542,0,9.8716869
MCCD,4544,.31309626,.29704496,.086485222,.1214217,.82221609
NTL,4544,1.3799167,1.3847897,1.1528229,-2.3222961,4.0952206
FDI,4513,2.2521255,2.2851901,.27287158,-1.6927851,5.0804038
RD,4544,.015150088,.010319965,.015846133,.0002708,.20683476
EI,4544,-.19832893,-.20960391,.5865078,-5.0264888,2.0872526
ISL,4544,.40641704,.39784998,.10158135,.038199998,.8387
ISU,4544,.9885444,.85679996,.56310481,.094300002,5.3499999
IV,4260,.31670156,.30061054,.086656019,.1214217,.82221609
c_SCCD,4544,-3.0628706e-09,-.016051292,.086485222,-.19167456,.50911987
is_fitted,4544,0,0,0,0,0
