variable,N,mean,median,sd,min,max
lnCE,5396,4.612174,4.6539602,1.2528909,0,8.3245792
SCCD,5396,.31783953,.30407226,.084741443,.1214217,.82221609
SCCD2,5396,.10820176,.092459932,.066074967,.014743229,.67603928
OPEN,5381,.19340348,.080276586,.3369056,-.71969324,3.6397464
UR,5396,54.497978,52.605751,15.418826,6.4905882,100
URG,5381,2.4372599,2.3422427,.54857808,1.2070409,6.3780489
GI,5396,.18608575,.16154674,.097677819,.04265378,1.0267844
DEI,5396,.060034439,.047024652,.076228723,0,.94000065
POLY,5396,.34606776,.37410951,.18871661,0,.96335995
OIU,5396,2.2876649,2.2832363,.14445932,1.1631,2.8357
GTI,5396,4.0465865,4.0376787,1.7953548,0,9.8716869
MCCD,5396,.31783953,.30407226,.084741443,.1214217,.82221609
NTL,5396,1.4208677,1.4337163,1.1283977,-2.3222961,4.0952206
FDI,5365,2.2435637,2.2817411,.2768431,-1.6927851,5.0804038
RD,5396,.015220353,.0104295,.015659496,0,.20683476
EI,5396,-.16143434,-.082537249,.54655099,-5.0264888,2.0872526
ISL,5396,.41573021,.41212624,.098742247,.038199998,.8387
ISU,5396,1.033855,.91104996,.56267709,.094300002,5.3499999
IV,5112,.31625843,.30204269,.085187949,.1214217,.82221609
c_SCCD,5396,.0047432859,-.0090240054,.084741443,-.19167456,.50911987
is_fitted,5396,.15789473,0,.36467606,0,1
